total_responses,days_since_last,total_donations,age,gender,blood_type,urgency_level,distance_km,hour_of_day,day_of_week,accepted,acceptance_rate,recency_score,loyalty_score
0,999,4,30,0,4,1,41.9,16,3,0,0.5,0.0,0.4
0,999,3,33,0,8,1,2.24,4,2,0,0.5,0.0,0.3
1,999,2,31,0,6,2,8.01,16,5,1,0.8834336774568815,0.0,0.2
0,999,7,40,0,5,2,3.12,0,3,1,0.5,0.0,0.7
2,15,4,37,1,7,1,1.91,3,2,1,0.7529012387975486,0.7788007830714049,0.4
4,30,1,35,0,1,1,35.75,3,0,1,0.7828630598475863,0.6065306597126334,0.1
1,15,0,25,0,6,1,18.88,9,3,1,0.6968340157561363,0.7788007830714049,0.0
2,180,2,26,0,7,1,1.8,13,2,1,0.8530776619107169,0.049787068367863944,0.2
15,15,4,40,0,2,1,17.63,21,0,0,0.047358743129071845,0.7788007830714049,0.4
3,0,1,28,0,8,1,7.85,22,2,0,0.18161285096725185,1.0,0.1
5,5,2,33,0,4,1,1.49,17,5,0,0.0982356276931164,0.9200444146293233,0.2
2,5,3,33,0,2,1,4.6,9,3,1,0.9759053221330379,0.9200444146293233,0.3
1,5,2,44,0,5,1,2.8,0,2,1,0.878956323060257,0.9200444146293233,0.2
2,30,2,35,0,2,1,4.3,1,6,1,0.9750982568132842,0.6065306597126334,0.2
3,999,0,34,0,6,1,6.33,8,1,1,0.8655557719105933,0.0,0.0
1,30,5,29,0,4,2,5.53,23,5,0,0.2014166067261601,0.6065306597126334,0.5
2,60,2,30,1,6,2,8.34,17,0,1,0.6911357773823816,0.36787944117144233,0.2
5,60,2,36,0,6,1,0.55,4,4,0,0.23474955054904142,0.36787944117144233,0.2
3,60,4,37,1,2,1,0.83,3,5,0,0.5184538581476464,0.36787944117144233,0.4
3,30,1,37,1,8,2,7.91,20,1,1,0.8161207038746545,0.6065306597126334,0.1
3,15,4,38,0,6,1,0.68,12,5,0,0.286446751637575,0.7788007830714049,0.4
0,999,0,25,0,8,1,1.23,17,1,1,0.5,0.0,0.0
2,60,5,34,0,2,1,7.29,3,0,1,0.8601347238134288,0.36787944117144233,0.5
20,15,3,36,0,1,2,17.75,4,4,1,0.7878155161845447,0.7788007830714049,0.3
1,15,0,33,0,5,1,0.5,0,2,0,0.17438879813186522,0.7788007830714049,0.0
0,999,4,30,0,2,2,0.96,14,4,1,0.5,0.0,0.4
1,5,3,37,0,1,1,10.85,5,4,0,0.08626454699833835,0.9200444146293233,0.3
2,0,1,32,1,6,1,26.41,2,6,0,0.3633946717508189,1.0,0.1
5,365,2,29,0,5,1,20.64,13,6,1,0.8234838225790535,0.002280562095392161,0.2
1,60,0,34,0,6,1,3.06,3,2,1,0.992168773576839,0.36787944117144233,0.0
1,30,7,40,0,8,1,7.44,15,2,1,0.551851641861737,0.6065306597126334,0.7
3,5,1,26,1,6,1,13.12,22,6,1,0.4118227511717197,0.9200444146293233,0.1
1,30,4,26,0,7,1,11.16,8,6,1,0.8512527826488973,0.6065306597126334,0.4
4,15,4,26,0,8,1,4.67,16,0,0,0.09564787763956903,0.7788007830714049,0.4
0,999,1,37,1,1,1,7.09,20,4,0,0.5,0.0,0.1
1,15,7,35,0,4,1,14.43,17,4,1,0.9438715370176822,0.7788007830714049,0.7
1,180,0,35,0,5,2,6.4,16,5,1,0.8291814654916345,0.049787068367863944,0.0
2,15,4,30,0,5,1,0.54,18,1,1,0.4610374557040997,0.7788007830714049,0.4
2,15,2,29,0,7,1,1.74,3,5,1,0.826124793005387,0.7788007830714049,0.2
1,5,1,28,0,7,1,3.12,18,5,1,0.9383067862933989,0.9200444146293233,0.1
3,5,2,40,0,4,1,4.66,12,5,1,0.9813345772726914,0.9200444146293233,0.2
20,365,2,30,0,1,2,0.5,9,2,1,0.6224239309557769,0.002280562095392161,0.2
4,30,2,32,1,3,1,12.88,5,6,0,0.12609671284045065,0.6065306597126334,0.2
1,999,2,33,0,3,1,4.27,6,5,0,0.14330518838222522,0.0,0.2
3,999,3,35,0,3,2,1.74,15,4,1,0.3462159300012021,0.0,0.3
20,15,1,32,0,8,1,9.58,0,0,0,0.04281380431783226,0.7788007830714049,0.1
1,30,5,39,0,4,1,11.3,2,0,0,0.6455252788785437,0.6065306597126334,0.5
1,999,1,34,0,5,2,5.39,5,5,0,0.07685644882999057,0.0,0.1
5,0,3,28,1,3,2,2.72,5,2,1,0.9645743781944374,1.0,0.3
3,15,3,40,0,8,1,1.45,7,5,1,0.7806042015216339,0.7788007830714049,0.3
5,90,3,35,0,6,2,5.76,19,6,0,0.35730871768700095,0.22313016014842982,0.3
2,30,2,36,0,1,1,26.55,23,4,0,0.4560318160530546,0.6065306597126334,0.2
2,60,1,33,0,5,1,0.5,1,0,1,0.7172790541975563,0.36787944117144233,0.1
3,5,0,23,0,4,1,2.72,6,0,1,0.9560292429969233,0.9200444146293233,0.0
1,60,1,41,0,7,1,0.97,5,3,0,0.12970142560562195,0.36787944117144233,0.1
10,999,2,35,0,5,2,3.23,4,5,0,0.007905741405210318,0.0,0.2
1,365,0,32,0,5,1,4.55,20,3,1,0.9355161968270663,0.002280562095392161,0.0
10,15,2,28,0,5,1,0.5,15,1,0,0.2758285289197137,0.7788007830714049,0.2
4,60,3,32,0,5,2,16.32,20,5,1,0.8806201164245869,0.36787944117144233,0.3
2,30,10,28,0,5,2,16.56,2,4,1,0.943794014305998,0.6065306597126334,1.0
1,365,1,32,0,1,1,5.27,23,0,1,0.8781250651552118,0.002280562095392161,0.1
5,5,2,31,0,2,2,10.5,2,2,1,0.8205726897657771,0.9200444146293233,0.2
2,180,1,33,1,1,1,6.96,0,3,0,0.049096172824535836,0.049787068367863944,0.1
3,30,3,31,0,4,1,0.99,1,4,1,0.5639336827887848,0.6065306597126334,0.3
1,5,2,29,0,2,1,18.32,12,3,1,0.6680581474367662,0.9200444146293233,0.2
0,999,1,35,0,5,1,0.68,14,3,1,0.5,0.0,0.1
2,15,0,36,0,2,1,17.75,16,2,1,0.853485835083044,0.7788007830714049,0.0
4,0,1,44,0,5,1,22.11,23,2,0,0.4732354523716554,1.0,0.1
2,15,2,30,1,8,1,6.54,15,0,0,0.3785158186154641,0.7788007830714049,0.2
0,999,5,31,0,2,1,2.12,0,5,0,0.5,0.0,0.5
0,999,3,39,0,7,1,3.05,22,5,0,0.5,0.0,0.3
1,999,10,36,1,7,2,1.28,0,6,1,0.5979705027521893,0.0,1.0
2,180,1,31,0,1,1,3.57,16,5,1,0.8357046408263061,0.049787068367863944,0.1
1,90,4,37,0,8,2,7.67,19,6,1,0.7955327007554036,0.22313016014842982,0.4
2,365,5,39,0,5,1,1.73,3,3,1,0.6414288892306745,0.002280562095392161,0.5
15,5,5,32,0,4,1,0.99,18,2,1,0.7373528032405268,0.9200444146293233,0.5
0,999,5,29,0,7,2,5.53,22,4,0,0.5,0.0,0.5
1,365,5,33,0,1,1,6.45,13,6,1,0.9186185067501776,0.002280562095392161,0.5
3,180,3,35,0,2,1,13.88,7,3,0,0.09426778822508187,0.049787068367863944,0.3
1,15,1,20,0,3,2,5.59,0,5,1,0.6574161300550643,0.7788007830714049,0.1
0,999,1,34,1,8,1,4.29,15,4,0,0.5,0.0,0.1
2,30,2,31,0,8,1,18.04,16,2,1,0.9797221592591765,0.6065306597126334,0.2
4,0,1,30,0,5,1,1.09,23,5,1,0.44160071014660046,1.0,0.1
2,5,3,39,1,7,1,8.45,18,0,1,0.7222590376977467,0.9200444146293233,0.3
1,180,2,33,0,6,1,3.88,18,6,1,0.9738043951058776,0.049787068367863944,0.2
2,15,2,30,0,2,1,8.22,14,1,1,0.7917664949290838,0.7788007830714049,0.2
2,0,1,30,0,8,1,6.31,22,2,0,0.3204587901955407,1.0,0.1
1,15,10,32,0,6,1,2.83,23,6,1,0.9376582198758203,0.7788007830714049,1.0
1,180,0,30,1,8,1,5.12,21,4,0,0.12871705432541258,0.049787068367863944,0.0
3,5,5,37,0,8,1,1.68,16,2,1,0.5056170986589984,0.9200444146293233,0.5
2,90,3,32,0,8,2,17.97,23,1,1,0.6561001403929161,0.22313016014842982,0.3
0,999,7,32,0,8,2,9.13,5,6,1,0.5,0.0,0.7
0,999,4,29,1,5,1,12.29,16,0,1,0.5,0.0,0.4
4,180,0,40,0,6,1,2.34,22,1,1,0.8123371375911439,0.049787068367863944,0.0
0,999,3,32,1,6,1,1.44,10,2,0,0.5,0.0,0.3
1,30,2,27,0,2,1,0.5,3,1,1,0.7876457835488921,0.6065306597126334,0.2
1,180,3,27,0,1,2,6.93,6,6,1,0.8691858842330697,0.049787068367863944,0.3
0,999,0,37,0,3,2,0.73,21,3,1,0.5,0.0,0.0
10,60,5,32,0,2,1,0.5,14,2,1,0.8970619948834134,0.36787944117144233,0.5
2,5,1,33,1,6,1,15.26,20,4,0,0.2698643062372814,0.9200444146293233,0.1
2,90,3,27,0,7,2,1.19,3,5,0,0.005908131224182269,0.22313016014842982,0.3
5,5,4,29,0,8,1,0.77,11,0,1,0.6081573927368863,0.9200444146293233,0.4
2,365,4,40,0,1,1,19.44,12,5,0,0.077919082190696,0.002280562095392161,0.4
0,999,1,37,0,2,1,9.64,19,3,0,0.5,0.0,0.1
2,5,5,34,0,7,1,3.44,21,6,1,0.9445314425073743,0.9200444146293233,0.5
0,999,3,27,0,3,1,22.33,8,2,1,0.5,0.0,0.3
5,30,0,34,0,4,1,6.39,22,0,0,0.24162680182442475,0.6065306597126334,0.0
2,15,3,28,0,4,1,3.5,18,5,1,0.9996201639527404,0.7788007830714049,0.3
0,999,3,33,0,4,2,10.73,18,6,1,0.5,0.0,0.3
3,15,4,34,0,8,1,0.5,9,1,1,0.4638313147382125,0.7788007830714049,0.4
2,90,3,37,0,3,1,2.89,12,5,1,0.7504972350988091,0.22313016014842982,0.3
15,30,2,30,0,6,1,3.21,4,6,1,0.9862570669833337,0.6065306597126334,0.2
1,60,4,35,1,5,2,0.5,23,6,0,0.07563379947240526,0.36787944117144233,0.4
1,60,1,33,0,7,1,14.16,22,0,0,0.3338245849161731,0.36787944117144233,0.1
1,365,3,31,0,6,1,5.42,16,6,1,0.8617395782764781,0.002280562095392161,0.3
2,180,0,36,0,5,1,2.94,14,1,1,0.9374198281308833,0.049787068367863944,0.0
2,0,5,33,0,5,1,11.47,6,0,1,0.6748920091097627,1.0,0.5
5,90,7,43,0,5,2,4.08,12,4,1,0.8986058064027397,0.22313016014842982,0.7
4,90,1,26,0,5,1,41.04,6,4,0,0.3981921534744177,0.22313016014842982,0.1
1,5,3,36,0,3,2,6.3,22,0,1,0.7281299046681179,0.9200444146293233,0.3
2,5,2,31,0,7,1,19.8,6,0,1,0.9405370689065566,0.9200444146293233,0.2
0,999,0,36,1,6,1,27.49,0,3,0,0.5,0.0,0.0
0,999,3,29,0,3,1,10.92,22,6,0,0.5,0.0,0.3
10,999,1,24,0,4,1,5.93,4,0,0,0.17265938744969533,0.0,0.1
0,999,1,25,0,8,1,0.5,1,4,0,0.5,0.0,0.1
2,90,4,34,0,8,1,3.47,14,2,0,0.043565954775795515,0.22313016014842982,0.4
1,0,4,37,0,3,1,24.36,13,6,1,0.9854528464382898,1.0,0.4
0,999,4,33,0,3,1,6.47,20,2,0,0.5,0.0,0.4
10,999,2,33,0,2,1,7.39,4,5,0,0.11343602516948581,0.0,0.2
0,999,5,27,1,1,2,7.54,3,2,1,0.5,0.0,0.5
1,999,0,33,0,7,2,3.74,15,2,1,0.9301833337619798,0.0,0.0
3,180,4,35,0,6,1,2.54,0,1,0,0.02450840105598651,0.049787068367863944,0.4
5,999,2,27,0,6,1,2.44,1,6,1,0.7821422682198841,0.0,0.2
1,365,0,33,0,2,2,1.11,14,2,1,0.897131586960556,0.002280562095392161,0.0
2,90,3,34,0,4,1,0.5,5,4,0,0.05968666594388241,0.22313016014842982,0.3
1,30,10,34,0,8,1,3.13,16,0,1,0.9803293020797,0.6065306597126334,1.0
3,15,0,30,0,4,1,0.5,4,6,1,0.987228397567964,0.7788007830714049,0.0
5,5,4,33,0,6,1,13.31,11,1,1,0.9757466170142101,0.9200444146293233,0.4
15,0,3,30,0,5,1,14.06,15,2,1,0.9111439232917902,1.0,0.3
1,60,2,28,0,6,1,2.31,21,2,0,0.04071458599074136,0.36787944117144233,0.2
2,30,3,30,0,2,2,41.74,18,4,0,0.30747642476488035,0.6065306597126334,0.3
0,999,4,32,1,2,2,11.69,19,0,1,0.5,0.0,0.4
1,15,5,33,1,3,1,4.56,2,2,0,0.02135540359064803,0.7788007830714049,0.5
1,365,2,42,0,4,1,11.67,4,3,1,0.9370781987236796,0.002280562095392161,0.2
1,30,7,32,0,8,1,0.95,15,5,1,0.9531859241613756,0.6065306597126334,0.7
5,0,2,40,1,3,1,6.82,0,2,0,0.13181550791785893,1.0,0.2
5,180,2,41,0,4,2,9.23,10,4,1,0.9885474433254956,0.049787068367863944,0.2
4,60,2,32,0,2,2,9.08,9,4,1,0.8114089176061104,0.36787944117144233,0.2
3,15,3,36,1,3,1,10.44,10,2,0,0.10837001791962579,0.7788007830714049,0.3
0,999,3,23,1,1,1,12.54,3,2,0,0.5,0.0,0.3
1,999,1,35,0,3,1,0.5,19,0,0,0.5493147335478709,0.0,0.1
0,999,3,27,0,3,1,7.69,5,6,0,0.5,0.0,0.3
1,999,1,32,0,6,1,0.5,9,0,0,0.2529262541869728,0.0,0.1
10,0,1,25,0,3,1,0.77,4,5,0,0.14368664026234026,1.0,0.1
2,60,1,29,0,3,1,17.99,5,2,0,0.12629656086276306,0.36787944117144233,0.1
3,5,4,39,0,7,1,2.62,3,1,1,0.8146129432176543,0.9200444146293233,0.4
1,60,5,28,1,5,1,13.82,10,5,1,0.9219232409962891,0.36787944117144233,0.5
1,5,3,28,0,3,2,7.21,5,3,0,0.3128024549624808,0.9200444146293233,0.3
15,90,2,38,0,1,1,3.35,17,4,1,0.8083729522751498,0.22313016014842982,0.2
3,90,3,31,1,3,2,7.7,21,6,0,0.13556689046307738,0.22313016014842982,0.3
0,999,4,25,0,2,1,36.65,20,2,0,0.5,0.0,0.4
10,5,2,31,0,5,1,2.82,2,4,1,0.8744247589143869,0.9200444146293233,0.2
2,90,3,30,0,4,2,16.88,18,5,1,0.8105657205321994,0.22313016014842982,0.3
3,5,3,29,0,1,1,5.88,7,2,0,0.6235151333007257,0.9200444146293233,0.3
3,90,1,34,0,4,1,8.96,10,6,0,0.36897074570489247,0.22313016014842982,0.1
0,999,1,38,0,2,1,7.97,2,3,0,0.5,0.0,0.1
3,30,0,36,0,2,2,0.5,10,1,1,0.6460952924911645,0.6065306597126334,0.0
1,5,5,34,0,5,1,10.55,7,0,1,0.7867046454561673,0.9200444146293233,0.5
2,0,5,33,0,6,1,13.7,17,2,1,0.7408145055146649,1.0,0.5
2,90,2,35,0,4,2,0.5,7,5,1,0.6336498007851366,0.22313016014842982,0.2
20,15,4,26,0,4,1,4.65,15,4,1,0.6307101106369832,0.7788007830714049,0.4
1,999,10,32,0,1,1,3.22,3,0,0,0.5742510832796652,0.0,1.0
10,5,2,25,1,3,2,11.61,7,6,1,0.9005367605086623,0.9200444146293233,0.2
2,15,3,27,0,4,2,7.4,12,6,1,0.8186250997519128,0.7788007830714049,0.3
1,90,4,34,1,8,1,0.5,0,1,0,0.6065515404132794,0.22313016014842982,0.4
15,0,3,30,0,3,1,4.29,11,4,1,0.7774862374117892,1.0,0.3
3,15,2,35,0,6,1,3.09,6,0,1,0.9943529459183377,0.7788007830714049,0.2
2,60,5,33,0,4,1,5.15,0,6,1,0.8859160752856081,0.36787944117144233,0.5
2,180,2,37,0,4,2,1.09,5,4,1,0.8554844383291187,0.049787068367863944,0.2
3,0,3,40,1,2,2,16.49,10,1,1,0.8845393733724182,1.0,0.3
5,60,1,32,0,8,1,1.51,21,1,1,0.6835629338421373,0.36787944117144233,0.1
0,999,3,29,1,1,2,38.1,2,5,1,0.5,0.0,0.3
2,5,1,31,0,1,2,0.5,12,6,1,0.8508573186745668,0.9200444146293233,0.1
3,60,5,32,0,8,2,5.23,19,1,1,0.9614622862012601,0.36787944117144233,0.5
20,180,1,29,0,7,2,1.49,10,2,1,0.7567284040065202,0.049787068367863944,0.1
4,60,7,31,0,5,1,8.28,18,4,0,0.18524423204914842,0.36787944117144233,0.7
0,999,4,26,1,1,1,3.07,17,1,0,0.5,0.0,0.4
0,999,5,35,1,7,1,19.06,21,5,1,0.5,0.0,0.5
1,60,2,31,0,5,1,5.93,3,3,0,0.1424595908903894,0.36787944117144233,0.2
5,15,4,24,0,4,1,5.73,21,6,1,0.9396810943320526,0.7788007830714049,0.4
1,30,1,37,0,2,1,4.72,14,6,0,0.35410050704209545,0.6065306597126334,0.1
5,180,1,31,1,2,1,3.07,1,6,1,0.9154713073212433,0.049787068367863944,0.1
2,0,0,30,1,5,1,0.57,22,2,1,0.5620618467102978,1.0,0.0
4,5,3,37,0,2,1,0.5,14,6,1,0.9142334881418815,0.9200444146293233,0.3
1,30,1,30,0,7,1,1.48,9,2,1,0.8101996800005634,0.6065306597126334,0.1
3,30,0,33,0,2,2,7.8,3,0,0,0.07030339837090487,0.6065306597126334,0.0
15,15,3,42,1,7,1,5.93,12,0,1,0.9969401773499148,0.7788007830714049,0.3
0,999,3,31,1,2,1,12.02,1,5,0,0.5,0.0,0.3
2,15,4,29,0,1,2,0.5,23,4,1,0.9238341378793199,0.7788007830714049,0.4
3,180,0,37,0,8,1,0.5,18,0,1,0.9102333205940168,0.049787068367863944,0.0
5,60,3,34,0,4,2,6.93,21,5,1,0.7436254038013446,0.36787944117144233,0.3
0,999,2,30,0,6,1,0.62,18,1,1,0.5,0.0,0.2
3,60,2,30,1,1,1,9.3,12,2,0,0.050585298492288364,0.36787944117144233,0.2
5,0,1,26,0,6,1,0.5,1,5,1,0.9936086727206641,1.0,0.1
1,180,4,33,0,6,1,1.32,20,1,0,0.2878749182201018,0.049787068367863944,0.4
2,0,3,35,0,7,1,1.45,15,4,1,0.8434846825039158,1.0,0.3
2,0,2,36,0,1,1,7.71,21,1,1,0.9453545538667146,1.0,0.2
1,90,4,22,0,7,2,4.06,14,0,1,0.7142873282122216,0.22313016014842982,0.4
2,5,4,25,1,1,1,1.31,19,2,1,0.9444818159137865,0.9200444146293233,0.4
1,0,0,27,0,4,1,4.99,7,6,1,0.7363884219320118,1.0,0.0
1,60,3,34,1,8,1,6.8,19,0,1,0.9533711730146299,0.36787944117144233,0.3
2,0,2,34,0,8,1,0.5,15,0,1,0.899454494201358,1.0,0.2
2,180,0,31,0,3,1,8.44,15,1,0,0.24962350703764358,0.049787068367863944,0.0
3,365,7,29,0,7,1,5.37,22,1,0,0.038419585504303876,0.002280562095392161,0.7
3,30,2,34,0,4,1,9.49,15,4,0,0.07287495003676693,0.6065306597126334,0.2
10,60,5,39,0,2,2,4.05,21,1,1,0.9452807087035058,0.36787944117144233,0.5
0,999,1,30,0,2,1,4.24,16,0,1,0.5,0.0,0.1
3,0,1,39,0,2,1,2.89,5,3,1,0.899484579204762,1.0,0.1
0,999,0,37,0,7,1,1.6,23,0,0,0.5,0.0,0.0
0,999,0,38,0,5,2,22.65,21,4,0,0.5,0.0,0.0
3,90,4,33,0,7,1,0.56,19,4,1,0.9985491837290846,0.22313016014842982,0.4
0,999,1,31,1,1,1,1.94,15,4,0,0.5,0.0,0.1
1,999,5,30,0,4,2,14.52,15,4,0,0.2161721418695577,0.0,0.5
4,5,5,33,0,7,1,5.93,3,4,1,0.8864710220829014,0.9200444146293233,0.5
3,0,3,27,0,5,2,4.39,5,1,1,0.4547325315345781,1.0,0.3
3,15,4,36,0,4,1,2.94,11,0,1,0.8977706976726583,0.7788007830714049,0.4
2,0,2,28,0,5,2,10.77,3,5,1,0.946443910230766,1.0,0.2
1,0,1,30,0,6,2,5.43,6,3,1,0.8678880636790638,1.0,0.1
0,999,3,28,0,6,2,12.15,13,4,1,0.5,0.0,0.3
4,5,10,32,1,2,2,7.19,20,3,1,0.7698896768590978,0.9200444146293233,1.0
3,5,4,36,1,2,1,7.12,4,0,0,0.265762564729629,0.9200444146293233,0.4
5,5,2,38,0,3,1,0.5,8,1,1,0.927720560561333,0.9200444146293233,0.2
0,999,4,34,0,5,1,1.77,22,6,1,0.5,0.0,0.4
3,5,3,37,1,7,1,1.22,16,3,1,0.6052093007916415,0.9200444146293233,0.3
2,180,2,36,1,1,2,0.5,5,6,1,0.5502684865280889,0.049787068367863944,0.2
1,90,0,38,0,7,1,1.02,17,3,0,0.08905284822643651,0.22313016014842982,0.0
1,60,3,31,1,3,2,5.09,17,4,1,0.6834760418531207,0.36787944117144233,0.3
20,15,4,28,0,2,1,10.48,0,5,0,0.3725366083582225,0.7788007830714049,0.4
2,90,4,29,0,2,1,4.92,10,5,0,0.4665673321054607,0.22313016014842982,0.4
3,0,10,35,0,1,1,2.24,18,2,1,0.9367648862178183,1.0,1.0
0,999,3,33,0,3,2,4.8,0,3,1,0.5,0.0,0.3
3,15,3,29,0,5,1,21.35,4,6,0,0.18209502084949386,0.7788007830714049,0.3
5,15,5,29,0,6,2,1.09,7,4,1,0.6849990141329997,0.7788007830714049,0.5
0,999,2,26,1,6,2,10.52,9,4,0,0.5,0.0,0.2
0,999,3,32,0,7,1,9.65,6,6,1,0.5,0.0,0.3
1,180,3,34,0,2,1,16.64,2,0,1,0.8299690920539634,0.049787068367863944,0.3
1,0,10,28,0,5,2,29.57,16,1,1,0.9863450133118579,1.0,1.0
4,15,7,32,0,6,1,4.7,21,6,1,0.8937246046233661,0.7788007830714049,0.7
5,15,7,43,1,3,1,3.39,2,2,1,0.9233862742414051,0.7788007830714049,0.7
3,5,1,34,0,2,1,27.18,4,2,0,0.04410039484402175,0.9200444146293233,0.1
4,0,2,27,0,6,2,1.08,0,5,1,0.8257375542472167,1.0,0.2
4,90,5,41,0,5,1,7.91,8,1,1,0.8532495626302288,0.22313016014842982,0.5
3,30,2,28,0,5,2,33.69,20,5,1,0.5784454922626783,0.6065306597126334,0.2
0,999,2,30,0,1,1,8.03,5,2,0,0.5,0.0,0.2
3,0,3,30,0,6,1,9.01,4,1,1,0.7407673016812474,1.0,0.3
1,60,2,32,1,2,1,3.47,7,4,1,0.9538952575258337,0.36787944117144233,0.2
0,999,2,29,0,6,1,4.49,18,1,1,0.5,0.0,0.2
15,180,3,30,0,8,1,0.5,16,3,1,0.6030303630354674,0.049787068367863944,0.3
15,60,1,38,1,5,1,0.5,8,5,0,0.05910705640258788,0.36787944117144233,0.1
1,5,1,31,0,5,1,12.13,20,2,1,0.8718454574288516,0.9200444146293233,0.1
10,60,4,28,0,4,1,34.04,6,4,0,0.2708183958119843,0.36787944117144233,0.4
10,5,3,35,0,6,1,0.5,22,3,1,0.7230931445561223,0.9200444146293233,0.3
1,15,4,35,0,3,1,22.93,8,5,1,0.9957203515060412,0.7788007830714049,0.4
4,15,2,27,0,1,1,8.76,14,6,0,0.5313168703949801,0.7788007830714049,0.2
0,999,1,43,0,3,2,8.45,13,3,1,0.5,0.0,0.1
0,999,3,37,1,6,1,1.79,16,1,0,0.5,0.0,0.3
1,180,1,36,1,5,1,14.33,1,1,0,0.11458213199608791,0.049787068367863944,0.1
1,0,4,35,0,8,1,15.7,2,1,1,0.7754542092572557,1.0,0.4
2,15,4,35,1,4,1,12.54,15,4,1,0.8960446558881303,0.7788007830714049,0.4
10,90,0,33,0,3,1,12.17,16,1,1,0.9876213051341152,0.22313016014842982,0.0
3,0,4,30,0,4,1,0.5,3,1,1,0.9455797591774893,1.0,0.4
2,5,2,30,1,1,2,3.63,22,5,1,0.882834201412826,0.9200444146293233,0.2
0,999,0,23,1,6,1,1.24,9,4,0,0.5,0.0,0.0
1,15,1,39,0,4,1,7.63,22,5,1,0.6098614907846911,0.7788007830714049,0.1
0,999,3,24,0,1,1,17.2,2,2,0,0.5,0.0,0.3
2,0,0,38,1,3,2,8.28,11,0,1,0.6260081843352083,1.0,0.0
20,30,2,29,1,3,2,46.23,20,2,1,0.9110438942859274,0.6065306597126334,0.2
0,999,1,26,1,5,1,10.38,16,5,0,0.5,0.0,0.1
1,15,5,22,1,3,1,29.66,18,1,0,0.03345436873267654,0.7788007830714049,0.5
2,5,2,33,0,7,2,1.12,14,6,1,0.620746988586998,0.9200444146293233,0.2
1,30,2,27,0,2,1,5.96,20,5,1,0.8690676147332007,0.6065306597126334,0.2
